event_date,state,event_type,duration_days,precipitation_anomaly_mm,mei_index,temperature_anomaly_c,wind_anomaly_kmph,damage_estimate_millionusd,intensity_scale
21-01-2016,Odisha,Flood,6,281.61,-2.46,3.09,56.25,426.99,5
01-10-2010,Telangana,Cloudburst,21,230.75,0.09,-4.43,35.2,454.11,4
16-02-2021,Madhya Pradesh,Hailstorm,29,461.28,0.88,5.51,110.85,447.89,10
02-01-2023,Delhi,Landslide,5,294.12,-0.67,0.26,99.52,384.12,9
03-01-2016,Tripura,Landslide,10,453.21,0.72,1.91,76.62,21.11,4
25-09-2021,Punjab,Cyclone,11,-174.21,1.06,0.47,106.95,462.03,6
24-07-2011,Maharashtra,Thunderstorm,23,57.8,-0.23,-4.27,57.85,348.15,9
04-12-2010,Jharkhand,Thunderstorm,3,212.75,0.13,3.17,26.02,60.14,5
17-01-2023,Nagaland,Cloudburst,5,99.31,-0.83,7.13,20.69,37.46,10
18-01-2023,Uttar Pradesh,Heatwave,26,426.2,0.19,3.32,118.43,185.13,4
24-09-2014,West Bengal,Cloudburst,12,333.04,0.71,2.08,112.12,460.52,1
21-12-2012,Uttarakhand,Hailstorm,22,188.54,1.89,7.5,124.21,44.97,9
08-12-2017,Punjab,Cloudburst,30,-160.22,-2.39,2.97,76,176.05,5
01-06-2014,Uttarakhand,Flood,30,145.6,-0.78,7.96,49.72,453.24,7
21-04-2024,Rajasthan,Hailstorm,4,349.2,2.79,-3.51,105.28,56.67,3
26-01-2013,Maharashtra,Drought,14,193.39,-1.29,3.64,89.43,335.4,6
12-08-2017,Goa,Cloudburst,23,22.57,-2.13,1.69,96.63,149.08,10
03-12-2019,Jharkhand,Thunderstorm,13,355.59,1.84,-1.74,39.05,379.12,4
09-05-2013,Jharkhand,Drought,25,411.43,1.51,2.15,74.74,19.54,6
02-07-2019,Mizoram,Landslide,26,393.63,0.85,5.75,145.29,273.25,3
22-12-2011,Madhya Pradesh,Heatwave,13,10.7,0.3,-2.9,98.01,299.82,3
18-08-2012,Odisha,Flood,18,196.54,-0.97,3.51,106.64,320.74,1
01-07-2020,Andhra Pradesh,Cyclone,11,300.79,-1.92,2.81,0.36,475.96,2
11-04-2018,Tripura,Drought,3,112.75,-0.8,4.38,111.37,273.73,6
14-07-2019,Mizoram,Cloudburst,26,-120,0.98,0.71,112.64,362.65,7
16-06-2011,Gujarat,Flood,5,396.67,-1.56,4.36,19.06,280.91,6
05-07-2021,Telangana,Landslide,1,417.24,2.26,7.64,47.27,13.45,5
03-08-2012,Odisha,Flood,7,-54.62,1.79,-2.48,0.25,417.59,8
21-01-2014,Telangana,Heatwave,19,423.53,0.01,2.89,95.66,198.02,8
17-06-2011,Tamil Nadu,Cyclone,14,466.68,-0.39,0.91,44.4,197.65,5
01-06-2014,Uttar Pradesh,Landslide,18,87.88,0.81,-3.86,5.6,415.69,3
11-10-2012,Madhya Pradesh,Landslide,26,453.32,-2.01,-0.48,134.68,323.33,8
17-12-2017,Uttarakhand,Cyclone,8,316.86,-1.74,-3.82,145.99,325.56,2
07-09-2013,Uttar Pradesh,Thunderstorm,24,197.88,1.39,5.56,129.33,289.38,10
07-12-2014,Punjab,Landslide,26,248.83,-1.36,3.9,57.66,264.99,8
10-12-2020,Punjab,Cyclone,30,-5.97,1.96,-0.7,25.52,330.23,2
22-05-2017,Delhi,Heatwave,6,219.75,1.34,2.67,74.68,379.49,9
17-01-2020,Odisha,Landslide,6,389.39,2.51,2.89,92.32,59.96,9
05-09-2020,Mizoram,Flood,10,-52.73,-1.46,-3.23,48.61,314.85,8
26-05-2019,Tripura,Cloudburst,11,233.68,1.21,0.19,28.42,201.15,4
20-08-2013,Jharkhand,Thunderstorm,27,410.79,1.5,-3.75,40.19,173.67,9
03-08-2018,Assam,Hailstorm,21,2.92,-1.53,6.66,13.63,61.96,5
07-07-2024,Punjab,Hailstorm,2,28,-2.37,-4.71,89.01,474.6,7
08-04-2011,Himachal Pradesh,Hailstorm,25,288.64,-0.72,-1.08,55.47,235.14,3
22-07-2021,Telangana,Hailstorm,10,280.54,-0.27,6.5,99.74,152.95,9
09-12-2023,Maharashtra,Cloudburst,1,373.4,2.13,4.38,130.21,430.12,10
20-08-2020,Chhattisgarh,Landslide,7,350.77,2.16,2.34,1.02,321.73,5
13-04-2016,Goa,Heatwave,15,14.45,-1.06,3.61,59.07,377.18,8
08-12-2010,Kerala,Cloudburst,16,295.28,-1.24,-4.65,103.02,256.66,7
03-01-2022,Haryana,Landslide,23,110.14,0.08,7.01,45.9,344.25,2
22-10-2019,Manipur,Thunderstorm,13,39.94,-0.45,-2.47,54.04,123.83,5
14-08-2014,Madhya Pradesh,Hailstorm,24,228.61,-0.69,2.79,15.66,437,5
13-10-2013,Madhya Pradesh,Drought,25,-26.08,-1.81,6.41,22.85,105.4,9
01-08-2020,Delhi,Hailstorm,30,445.79,1.37,6.9,14.59,226.9,2
18-12-2018,Manipur,Landslide,13,-94.47,1.59,1.7,51.65,409.98,2
09-06-2021,Meghalaya,Hailstorm,2,301.91,-1.66,5.23,132.65,400.11,10
14-08-2021,Kerala,Cloudburst,11,157.14,1.21,1.43,96.65,233.08,3
03-05-2023,Kerala,Cloudburst,28,275.15,-0.83,-3.53,52.24,437.1,9
27-04-2023,Maharashtra,Cyclone,26,-18.23,0.55,-0.7,51.44,331.18,8
26-07-2010,Punjab,Landslide,17,99.28,0.92,5.98,7.39,75,8
10-06-2015,Uttar Pradesh,Thunderstorm,9,-99.81,-2.76,2.33,12.21,98.28,3
19-05-2021,Gujarat,Thunderstorm,30,398.83,2.4,1.59,141.36,163.97,3
03-07-2015,Odisha,Cyclone,21,-185.87,-2.29,0.8,148.89,351.96,4
23-06-2019,Sikkim,Landslide,25,430.44,-2.1,7.16,27.19,325.44,4
20-06-2023,Nagaland,Thunderstorm,22,191.87,-0.34,7.05,50.55,15.26,9
15-07-2012,Sikkim,Heatwave,12,116.34,2.91,7.03,84.72,33.92,7
08-06-2018,West Bengal,Hailstorm,28,478.61,-2.93,0.39,63.3,16.11,6
19-12-2015,Tamil Nadu,Thunderstorm,1,-27.82,0.3,1.53,137.02,97.16,5
25-01-2023,Rajasthan,Drought,2,467.33,-0.16,3.39,139.56,46.26,8
06-06-2022,Assam,Cyclone,14,154.69,-2.19,3.37,24.01,89.21,7
11-01-2014,Rajasthan,Hailstorm,22,-25.35,-2.89,2.59,14.83,472.52,7
27-12-2017,Karnataka,Drought,10,242.47,-0.34,3.19,100.17,381.08,2
05-08-2017,Kerala,Cloudburst,8,291.84,1.13,-1.61,46.57,422.42,6
13-01-2020,Karnataka,Drought,7,159.93,1.11,1.26,118.66,309.34,4
05-02-2015,Uttarakhand,Cloudburst,3,-42.49,-1.96,-3.22,93.07,408.06,4
10-07-2011,Chhattisgarh,Hailstorm,18,-145.95,2.74,7.44,48.1,273.57,10
23-09-2015,Goa,Flood,28,-142.34,-2.86,5.69,87.55,118.55,3
03-06-2024,Himachal Pradesh,Flood,24,382.96,-0.47,7.51,39.63,167.68,5
15-08-2021,Sikkim,Drought,3,-61.7,0.03,6.67,129.46,424.92,6
20-05-2020,Gujarat,Flood,18,-199.82,2.23,-4.93,109.73,23.45,2
25-01-2024,Arunachal Pradesh,Thunderstorm,18,42.47,2.19,-0.01,42.93,60.21,5
25-09-2024,Goa,Hailstorm,3,364.27,-0.47,7.04,123.48,249.6,3
16-01-2015,Meghalaya,Landslide,30,249.83,0.36,-3.22,79.15,448.68,8
05-08-2011,Goa,Landslide,14,404.41,-0.03,2.01,13.44,391.83,1
21-02-2020,Delhi,Thunderstorm,15,261.36,0.28,-4.01,118.4,379.31,1
26-12-2022,Meghalaya,Hailstorm,10,137.79,-1.67,6.98,36.6,365.17,8
26-05-2012,Andhra Pradesh,Heatwave,2,301.07,0.18,7.95,133.26,68.27,4
12-08-2017,Gujarat,Drought,13,324.8,2.08,0.39,58.08,326.1,2
06-02-2018,Mizoram,Landslide,21,-146.31,-2.9,-2.85,0.96,159.56,4
26-08-2014,Tripura,Thunderstorm,11,-89.57,-0.34,-1.25,84.6,293.42,2
17-04-2017,Uttarakhand,Thunderstorm,5,-128.53,1.68,0.69,83.7,464.52,5
18-08-2012,Jharkhand,Hailstorm,28,56.92,1.8,-4.55,9.11,301.41,6
04-01-2011,Bihar,Drought,29,351.52,1.19,1.06,100.82,72.14,7
25-07-2010,Chhattisgarh,Hailstorm,22,13.22,2.07,7.17,33.05,328.55,1
05-12-2023,Assam,Drought,30,-2.37,0.85,-2.11,58.62,236.8,6
21-07-2018,Manipur,Heatwave,23,376.54,0.31,6.55,142.06,277.04,3
27-08-2022,West Bengal,Flood,8,151.94,2.12,5.57,65.4,484.56,7
27-01-2023,Maharashtra,Hailstorm,10,-146.07,1.67,-3.12,29.7,393.52,6
20-04-2010,West Bengal,Thunderstorm,28,325.72,2.85,3.11,90.79,212.61,1
17-02-2017,Mizoram,Hailstorm,18,354.84,2.04,1.4,22.67,490.22,9
25-09-2020,Delhi,Heatwave,19,-105.04,-1.41,0.01,101.02,447.67,6
25-06-2018,Meghalaya,Thunderstorm,23,154.86,1.79,1.09,133.25,409.55,2
11-01-2011,Mizoram,Heatwave,28,469.29,-0.79,2.85,25.6,418.47,9
27-01-2020,Karnataka,Landslide,4,-187.44,-2.24,6.43,149.85,446.28,9
18-02-2013,Maharashtra,Drought,7,38.6,-2.95,-3.45,9.21,24.55,3
16-12-2016,Kerala,Hailstorm,18,449.14,-1.78,-0.55,13.65,189.66,3
23-04-2012,Tripura,Hailstorm,28,-65.21,-1.56,-4.14,83.78,212.18,3
08-12-2017,Assam,Landslide,7,229.56,1.4,-2.29,102.91,339.48,9
25-04-2016,Mizoram,Drought,9,-1.72,2.02,1.06,122.34,121.68,6
11-04-2020,Bihar,Cyclone,3,-108.22,1.97,5.25,48.81,423.51,6
04-09-2024,Mizoram,Landslide,22,157.54,0.26,5.74,61.21,166.61,3
17-05-2014,Karnataka,Heatwave,8,344.85,2.6,5.44,13.48,75.37,8
10-12-2015,Maharashtra,Thunderstorm,8,339.54,2.82,2.19,39.38,212.21,6
18-10-2017,Manipur,Heatwave,17,315.35,2.71,7.16,43.99,250.08,4
18-06-2016,Assam,Heatwave,2,80.1,-1.81,-2.07,48.19,87.23,6
02-12-2020,Chhattisgarh,Heatwave,10,56.31,-2.52,1.75,5.75,488.66,6
06-07-2020,Mizoram,Hailstorm,19,-49.46,2.97,3.78,39.44,353.34,10
24-01-2020,Meghalaya,Heatwave,4,-149.05,-0.33,-0.07,15.16,355.28,4
11-12-2012,Punjab,Flood,25,37.37,1.59,4.88,98.25,95.18,7
