property_id,City_clean,Locality,Price,Avg_Rent,rental_yield_pct,yield_category,investment_score,score_driver,score_rent_component,score_safety_component,score_flood_component,property_age_bucket,bhk,furnishing_type,price_trend_proxy,Crime_Index,Flood_Risk,locality_id,Name,Property Title,State,ry_prank,ry_capped,crime_prank,safety_prank,flood_norm,flood_data_level,crime_data_level,yield_unit,investment_score_scale,last_updated,assumption_notes,score_formula_version,data_status,area_category,Area_sqft_valid,price_realistic_flag,price_lakh,price_crore
f91fc799-dc5c-48cd-ba90-73d520142f61,Pune,Sanvi Height,3300000.0,14450.0,5.254545455,High,58.5,Rental Yield Driven,55.0,15.3,10.0,5-10 years,2,Fully-Furnished,0.102,17123,62.82136117,b676c1b281b3aa649360d8a6bf6b1999,"Sanvi Height,Chakan, Pune","2 BHK Flat for sale in Chakan, Pune",Maharashtra,0.785861784,5.254545455,0.23502891,0.76497109,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,882,True,33.0,0.33
0f104c6f-a142-4d61-8d7f-9aa045709aa0,Chennai,Thirumangalam,10700000.0,13400.0,1.502803738,Low,34.5,Rental Yield Driven,16.5,1.1,0.6,5-10 years,2,Unfurnished,0.355,58508,72.20217747,33a2ad2e0ba60b52616b92df94266391,"Thirumangalam, Anna Nagar West,Chennai","2 BHK Flat for sale in Anna Nagar West, Chennai",Tamil Nadu,0.235373073,1.502803738,0.945140419,0.054859581,0.059771337,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,890,True,107.0,1.07
0a596c4e-555f-4cfc-b135-2d97bb65c6d6,Bangalore,Sector 3,5800000.0,14450.0,2.989655172,Medium,40.6,Rental Yield Driven,38.1,8.7,7.47,0-5 years,2,Unfurnished,0.714,28358,72.79852595,42b212293cecf39464372d0182e6c9bc,"Sector 3, HSR Layout,Bangalore","2 BHK Flat for sale in HSR Layout, Bangalore",Karnataka,0.544603524,2.989655172,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,1066,True,58.0,0.58
fce0d7a1-a2cb-4704-aa03-f70374660643,Bangalore,Corporation Colony,16000000.0,14450.0,1.08375,Low,40.6,Rental Yield Driven,10.0,8.7,7.47,0-5 years,2,Semi-Furnished,0.714,28358,72.79852595,80962b3514cb6649b34be9e762e6ea38,"Corporation Colony, Ulsoor,Bangalore","4 BHK Independent House for sale in Ulsoor, Bangalore",Karnataka,0.14248348,1.08375,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,1000,True,160.0,1.6
b9752acd-9c43-4ebc-9edd-5fcd331b4645,Chennai,Kaladipet,5600000.0,13400.0,2.871428571,Medium,34.5,Rental Yield Driven,35.7,1.1,0.6,0-5 years,2,Unfurnished,0.355,58508,72.20217747,8dc5001d58d5081e67d433dfde7d6d6c,"Kaladipet, Tiruvottiyur,Chennai","1 BHK Independent House for sale in Tiruvottiyur, Chennai",Tamil Nadu,0.510703469,2.871428571,0.945140419,0.054859581,0.059771337,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,650,True,56.0,0.56
96ad7eed-6ed0-4ec8-a7a3-b92cea6a1b14,Hyderabad,Sri Venkateshwara Colony,8600000.0,13815.34091,1.927721987,Low,51.0,Rental Yield Driven,22.7,19.6,0.5,5-10 years,2,Semi-Furnished,0.888,8200,72.30334564,eb97916ea2d4a04e671be727234343c5,"Sri Venkateshwara Colony, Balapur,Hyderabad","2 BHK Independent House for sale in Balapur, Hyderabad",Telangana,0.324717786,1.927721987,0.018619218,0.981380782,0.049631365,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1230,True,86.0,0.86
dbdd9e2e-b1bc-4a30-92e7-98cb8c30415f,New Delhi,Rajpur Khurd Village,7500000.0,14450.0,2.312,Medium,42.9,Rental Yield Driven,28.6,8.7,1.97,10+ years,2,Unfurnished,0.485,28358,70.832899,e40f8f5f691634a54907f81a9b574075,"Rajpur Khurd Village, Chhattarpur,New Delhi","3 BHK Flat for sale in Chhattarpur, New Delhi",Delhi,0.408418227,2.312,0.567077368,0.432922632,0.197012577,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1337,True,75.0,0.75
6f754006-0217-4bcf-aca1-64507a83d795,Mumbai,Kalina,30500000.0,50000.0,1.967213115,Low,47.6,Rental Yield Driven,23.0,3.1,10.0,10+ years,2,Unfurnished,0.953,54543,62.82136117,e9044b767e1c9194173cf0bc1e01d74d,Arbuda Darshan Chs Ltd,"3 BHK Flat for sale in Santacruz East, Mumbai",Maharashtra,0.329019824,1.967213115,0.843681167,0.156318833,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1300,True,305.0,3.05
c8c37b44-2a60-4b61-8f97-116a096ec93d,Bangalore,Channapatna,6300000.0,14450.0,2.752380952,Medium,40.6,Rental Yield Driven,34.7,8.7,7.47,0-5 years,2,Semi-Furnished,0.714,28358,72.79852595,e43de38eb03351a957c812135f9d131c,"Channapatna, Bangalore","2 BHK Independent House for sale in Channapatna, Bangalore",Karnataka,0.496386289,2.752380952,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,2400,True,63.0,0.63
359ca5d7-ec8b-435f-96f2-09eaed849012,New Delhi,Alaknanda,20000000.0,14450.0,0.867,Low,42.9,Safety Driven,7.1,8.7,1.97,5-10 years,2,Fully-Furnished,0.485,28358,70.832899,0e8db1f07e3afed3e31af5cb34b29a4b,Nilgiri Apartments,"2 BHK Flat for sale in Alaknanda, New Delhi",Delhi,0.100977423,0.867,0.567077368,0.432922632,0.197012577,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1700,True,200.0,2.0
5173cd3d-59b4-4e36-9d6a-3f170b3b3b3e,Mumbai,Shanti Park,22000000.0,50000.0,2.727272727,Medium,47.6,Rental Yield Driven,34.6,3.1,10.0,5-10 years,2,Semi-Furnished,0.953,54543,62.82136117,0b6e18e3dcc4a9f4bb2dff9774ac6714,Chandraghata Jangid Apartment,"3 BHK Flat for sale in Mira Road East, Mumbai",Maharashtra,0.493632985,2.727272727,0.843681167,0.156318833,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1604,True,220.0,2.2
242dbf2d-e4af-4b66-92f9-2a49292511e0,Pune,Hinjewadi,16000000.0,14450.0,1.08375,Low,58.5,Safety Driven,10.0,15.3,10.0,5-10 years,2,Semi-Furnished,0.102,17123,62.82136117,01e54766633ee8d15cbc814562ab49fa,Vasant Utsav,"3 BHK Independent House for sale in Hinjewadi, Pune",Maharashtra,0.14248348,1.08375,0.23502891,0.76497109,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,2100,True,160.0,1.6
ca8d2a11-a4b3-4e51-b4ff-b64e8a3a6fef,New Delhi,Gaytri appartment,2200000.0,14450.0,7.881818182,High,42.9,Rental Yield Driven,62.6,8.7,1.97,0-5 years,2,Fully-Furnished,0.485,28358,70.832899,b7addc7bef94f5c6a465a3619e38241c,"Gaytri appartment ,Bharat Vihar, Madhu Vihar,New Delhi","2 BHK Flat for sale in Madhu Vihar, New Delhi",Delhi,0.893928965,7.881818182,0.567077368,0.432922632,0.197012577,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,710,True,22.0,0.22
858f6c56-f762-4f81-96e1-8b451a0498f1,Bangalore,Virgonagar Industrial Estate,5000000.0,14450.0,3.468,Medium,40.6,Rental Yield Driven,43.2,8.7,7.47,0-5 years,2,Unfurnished,0.714,28358,72.79852595,d76b2a0a1a725ecdefa40de7deb91449,Anvitha Delight,"3 BHK Flat for sale in Aavalahalli, Bangalore",Karnataka,0.616464758,3.468,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1405,True,50.0,0.5
e1dd6ddf-9760-41a7-9d6e-5ea23ee2c196,Pune,Kad Nagar,6300000.0,14450.0,2.752380952,Medium,58.5,Rental Yield Driven,34.7,15.3,10.0,0-5 years,2,Semi-Furnished,0.102,17123,62.82136117,dbb3dfc8723c6faf87ff0ac90a8b59f8,Goel Ganga Glitz,"2 BHK Flat for sale in Undri, Pune",Maharashtra,0.496386289,2.752380952,0.23502891,0.76497109,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1215,True,63.0,0.63
a1a22225-7d03-49c2-a94a-8703bdab18a2,Pune,Sapphire villa,6500000.0,14450.0,2.667692308,Medium,58.5,Rental Yield Driven,33.4,15.3,10.0,10+ years,2,Unfurnished,0.102,17123,62.82136117,ac121344bd6e9fcac70c803bb1e474ff,"Sapphire villa,Lohegaon, Pune","3.5 BHK Villa for sale in Lohegaon, Pune",Maharashtra,0.477698238,2.667692308,0.23502891,0.76497109,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1780,True,65.0,0.65
39af84b9-5279-4023-bd42-b1a96c7be9fc,New Delhi,Gorav Nagar,3200000.0,14450.0,5.41875,High,42.9,Rental Yield Driven,55.7,8.7,1.97,5-10 years,2,Unfurnished,0.485,28358,70.832899,01f3bfd7a88f907cb665a0361dd6bcf9,"Gorav Nagar, Kirari Suleman Nagar,New Delhi","4 BHK Independent House for sale in Kirari Suleman Nagar, New Delhi",Delhi,0.795498348,5.41875,0.567077368,0.432922632,0.197012577,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,600,True,32.0,0.32
90e219b1-436a-4a8f-8105-bd7f403d0ce5,Bangalore,Kodipalya,6240000.0,14450.0,2.778846154,Medium,40.6,Rental Yield Driven,35.1,8.7,7.47,10+ years,2,Unfurnished,0.714,28358,72.79852595,0bec82c9c6f8c29815d3eb614412703b,"Kodipalya, Bangalore","3 BHK Independent House for sale in Kodipalya, Bangalore",Karnataka,0.501411068,2.778846154,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,5200,True,62.4,0.62
6f48a1ca-a37f-492e-86c9-bf6333fa1411,Pune,Mahadev Nagar,2350000.0,14450.0,7.378723404,High,58.5,Rental Yield Driven,61.7,15.3,10.0,0-5 years,2,Unfurnished,0.102,17123,62.82136117,f3341086f77be25ed4a34525761e19bd,Yuvraj Jijau sankul,"1 BHK Flat for sale in Dhayari, Pune",Maharashtra,0.881539097,7.378723404,0.23502891,0.76497109,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Small,500,True,23.5,0.24
6a4c97a7-954e-48c9-85f0-408c01a83368,Bangalore,Rahmath Nagar,3800000.0,14450.0,4.563157895,High,40.6,Rental Yield Driven,51.1,8.7,7.47,10+ years,2,Unfurnished,0.714,28358,72.79852595,b9cc593cd1504f169e4caf2b0da798ef,DS Max Sprint,"2 BHK Flat for sale in R. T. Nagar, Bangalore",Karnataka,0.730245044,4.563157895,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,950,True,38.0,0.38
e4c34b8d-1675-4892-93f2-02d0651f9215,Bangalore,Anjanapura 5th Block,15000000.0,14450.0,1.156,Low,40.6,Rental Yield Driven,11.1,8.7,7.47,5-10 years,2,Semi-Furnished,0.714,28358,72.79852595,416d7506048d067d388f69e9d9f8c90f,"Anjanapura 5th Block, Anjanapura Township,Bangalore","6 BHK Independent House for sale in Anjanapura Township, Bangalore",Karnataka,0.158659141,1.156,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,3300,True,150.0,1.5
af277215-114b-43d6-865e-d5b6ae91b085,Pune,Sainikwadi,8500000.0,14450.0,2.04,Medium,58.5,Rental Yield Driven,24.2,15.3,10.0,10+ years,2,Unfurnished,0.102,17123,62.82136117,1fff20b58a32a93e480d0332dd60bceb,"Sainikwadi, Wadgaon Sheri,Pune","2 BHK Flat for sale in Wadgaon Sheri, Pune",Maharashtra,0.345711729,2.04,0.23502891,0.76497109,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,954,True,85.0,0.85
baa0b979-0777-4851-baa9-5184b03ce2c3,Bangalore,Nagasandra,13000000.0,14450.0,1.333846154,Low,40.6,Rental Yield Driven,13.8,8.7,7.47,0-5 years,2,Semi-Furnished,0.714,28358,72.79852595,e34204d99d33ef6d41fdd49e73b55805,Sobha Garrison,"3 BHK Flat for sale in Nagasandra, Bangalore",Karnataka,0.197308645,1.333846154,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1680,True,130.0,1.3
0f08a479-8b09-4801-ad1f-98bdcc9f4a88,New Delhi,Tuglakabad extension,2500000.0,14450.0,6.936,High,42.9,Rental Yield Driven,60.4,8.7,1.97,5-10 years,2,Fully-Furnished,0.485,28358,70.832899,a855bcb870d96e932a9b72ebe70e609b,"Tuglakabad extension,Tughlakabad Extension, Tughlakabad,New Delhi","2 BHK Flat for sale in Tughlakabad, New Delhi",Delhi,0.863160793,6.936,0.567077368,0.432922632,0.197012577,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Medium,1000,True,25.0,0.25
6409ea75-c672-41cb-9c42-154916dfe04d,Chennai,Kanathur Reddikuppam,19900000.0,14000.0,0.844221106,Low,67.8,Rental Yield Driven,6.7,1.1,0.6,5-10 years,2,Fully-Furnished,0.355,58508,72.20217747,47852bb4579ef56785a7b733296c4f00,Casagrand ECR 14,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",Tamil Nadu,0.095814978,0.844221106,0.945140419,0.054859581,0.059771337,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,2583,True,199.0,1.99
42f36567-bc3d-4be5-b33c-d52a79f7fb3c,Bangalore,7th Phase,17200000.0,14450.0,1.008139535,Low,40.6,Rental Yield Driven,8.9,8.7,7.47,5-10 years,2,Semi-Furnished,0.714,28358,72.79852595,7e4be57113879a16093f246f736c1f18,Brigade Gardenia,"3 BHK Flat for sale in JP Nagar, Bangalore",Karnataka,0.127374725,1.008139535,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1630,True,172.0,1.72
7548de28-44ae-4f6b-8312-64bb99b509d0,New Delhi,Badarpur Village,3000000.0,14450.0,5.78,High,42.9,Rental Yield Driven,57.0,8.7,1.97,5-10 years,2,Semi-Furnished,0.485,28358,70.832899,897fe01d70fed73c8f14c0bddcab8c37,"Badarpur Village, Badarpur,New Delhi","1 RK Independent House for sale in Badarpur, New Delhi",Delhi,0.814461729,5.78,0.567077368,0.432922632,0.197012577,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Compact,150,True,30.0,0.3
33405c77-b928-4c01-8d9e-6f04cc90a460,Bangalore,Kachohalli,6600000.0,8500.0,1.545454545,Low,74.7,Rental Yield Driven,17.0,8.7,7.47,10+ years,2,Semi-Furnished,0.714,28358,72.79852595,bd6b2c49fc82c3ac52627e2719812230,"Kachohalli, Bangalore","3 BHK Independent House for sale in Kachohalli, Bangalore",Karnataka,0.243219989,1.545454545,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1800,True,66.0,0.66
cb98a15c-260f-415c-888e-1e4e500a9a72,Pune,Matoshree hights,2600000.0,14450.0,6.669230769,High,58.5,Rental Yield Driven,59.6,15.3,10.0,0-5 years,2,Fully-Furnished,0.102,17123,62.82136117,700dd90d20bd32cceb7922dbc8ded1d6,"Matoshree hights,Dighi, Pune","1 BHK Flat for sale in Dighi, Pune",Maharashtra,0.852044328,6.669230769,0.23502891,0.76497109,1.0,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Small,553,True,26.0,0.26
ea84fca9-0384-4e57-aae8-35b743c00b3a,Bangalore,Sudhama Nagar,10000000.0,14450.0,1.734,Low,40.6,Rental Yield Driven,19.5,8.7,7.47,10+ years,2,Semi-Furnished,0.714,28358,72.79852595,d3a1c456908305ffc4f7fdc3fe48decd,Kaberi Apartment,"2 BHK Flat for sale in Sudhama Nagar, Bangalore",Karnataka,0.27846228,1.734,0.567077368,0.432922632,0.747444283,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,1200,True,100.0,1.0
a0b56335-0cfb-401f-b522-b632ad50f767,Hyderabad,Chengicherla,11800000.0,13815.34091,1.404949923,Low,51.0,Safety Driven,15.2,19.6,0.5,0-5 years,2,Semi-Furnished,0.888,8200,72.30334564,2a376aafe4b247065e443872dc8c789d,"Chengicherla, Hyderabad","4 BHK Independent House for sale in Chengicherla, Hyderabad",Telangana,0.21689152,1.404949923,0.018619218,0.981380782,0.049631365,State,City,Percent (%),100,2025-12-15,"Flood risk applied at state level due to data availability. Property age, BHK, and furnishing type inferred using domain assumptions. Price trend is a proxy, not historical time-series.",RY_70 + SAFETY_20 + FLOOD_10,FINAL_FROZEN,Large,2000,True,118.0,1.18
